customer_tweet_id,customer_text,customer_created_at,brand_response_id,brand_response,brand
697,USER The newest update. I️ made sure to download it yesterday.,Tue Oct 31 22:31:23 +0000 2017,699,USER Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. URL,AppleSupport
702,USER Tried resetting my settings .. restarting my phone .. all that,Tue Oct 31 22:11:31 +0000 2017,701,USER Let's go to DM for the next steps. DM us here: URL,AppleSupport
704,USER This is what it looks like URL,Tue Oct 31 21:59:17 +0000 2017,703,USER Any steps tried since it started last night?,AppleSupport
707,USER I️ have an iPhone 7 Plus and yes I️ do,Tue Oct 31 21:48:51 +0000 2017,705,USER That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,AppleSupport
709,USER I️ need answers because it’s annoying 🙃,Tue Oct 31 21:34:45 +0000 2017,708,USER We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,AppleSupport
714,"Hey USER and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",Tue Oct 31 22:19:32 +0000 2017,712,"USER Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. URL",AppleSupport
717,USER This is what is happening... URL,Tue Oct 31 22:13:08 +0000 2017,716,USER We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. URL,AppleSupport
719,Tf is wrong with my keyboard USER,Tue Oct 31 22:01:50 +0000 2017,718,"USER Fill us in on what is happening, then we can help out from there.",AppleSupport
721,USER are the call centres closed for the night?,Tue Oct 31 22:18:14 +0000 2017,720,USER We've received your DM and will continue there.,AppleSupport
723,USER USER hello are all the lines closed for tonight,Tue Oct 31 22:11:16 +0000 2017,722,USER What's going on? We're hapy to help if we can. URL,AppleSupport
725,USER USER USER I️ upgraded. I️t didn’t work.,Tue Oct 31 22:16:35 +0000 2017,724,"USER Reach out to us via DM, and we can take a look at this with you. URL",AppleSupport
730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also USER URL",Tue Oct 31 20:46:35 +0000 2017,729,"USER You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: URL",AppleSupport
733,USER I’ve got a screenshot saying my is reserved for the 3rd then an email saying it’s the 18th... what happened?,Tue Oct 31 22:16:40 +0000 2017,732,USER Go ahead and send us a DM please. Let us know the country you're in.,AppleSupport
735,USER I have the iPhone 6s Plus and just did the most recent update.,Tue Oct 31 22:23:35 +0000 2017,737,"USER To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: URL",AppleSupport
736,Thank you USER I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,Tue Oct 31 22:17:57 +0000 2017,734,"USER We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",AppleSupport
742,USER Okey. Thank you! 🤗,Tue Oct 31 22:59:53 +0000 2017,743,"USER Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",AppleSupport
740,USER iPhone 7 Plus 😊,Tue Oct 31 22:14:45 +0000 2017,738,USER Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,AppleSupport
745,USER I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁 USER,Tue Oct 31 22:00:34 +0000 2017,744,USER Hi there! What type of device are we working with?,AppleSupport
747,Hola USER necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,Tue Oct 31 18:08:04 +0000 2017,746,USER We offer support via Twitter in English. Get help in Spanish here: URL or join URL,AppleSupport
749,USER Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! URL,Tue Oct 31 22:06:44 +0000 2017,748,USER We want to help! DM us and let us know more about the issues you are having. URL,AppleSupport
754,"USER Yes it did, 11.0.3",Tue Oct 31 22:01:17 +0000 2017,753,"USER We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: URL",AppleSupport
756,MY HOME BUTTON DOESN’T WORK USER,Tue Oct 31 20:49:07 +0000 2017,755,USER Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,AppleSupport
758,Hey USER ! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,Tue Oct 31 22:10:06 +0000 2017,757,USER We're here to help. Meet us in DM and we can check on available options. URL,AppleSupport
760,USER I can not find an option to get it there. It was just always there when playing.,Tue Oct 31 22:03:09 +0000 2017,759,USER DM us the specific iOS version you are running currently and we'll continue there. URL,AppleSupport
763,USER The app is still there. But no longer able to control it from the lockscreen.,Tue Oct 31 21:56:55 +0000 2017,761,"USER Just to confirm, this is only happening with Spotify, correct?",AppleSupport
765,After update no spotify on my lock screen? USER,Tue Oct 31 18:20:46 +0000 2017,764,USER Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,AppleSupport
767,I just need USER to do something about the battery life because it sucks ass,Tue Oct 31 22:08:32 +0000 2017,766,USER We want to help you get your battery life back on track. Please DM and we'll look at it together. URL,AppleSupport
1755,Why does my I️ not work ?! USER please fix this!!!,Tue Oct 31 22:36:21 +0000 2017,1754,USER We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. URL,AppleSupport
1757,USER I️ just updated it and it’s still coming up URL,Tue Oct 31 22:28:03 +0000 2017,1756,USER Let's dig into this further with you. DM us and we'll continue there.,AppleSupport
1761,iOS 11 is killing my battery USER . Fix it.,Tue Oct 31 22:33:01 +0000 2017,1760,USER We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,AppleSupport
1763,"USER Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",Tue Oct 31 22:37:31 +0000 2017,1765,USER Try contacting our iTunes Store team here for more help: URL,AppleSupport
1764,"USER Hello, I need some help regarding the region change on my Apple ID",Tue Oct 31 22:29:29 +0000 2017,1762,USER This article should help with that: URL,AppleSupport
1768,"USER it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",Tue Oct 31 22:16:22 +0000 2017,1767,USER Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. URL,AppleSupport
1770,USER why is my home sharing not working and how do i fix it,Tue Oct 31 22:07:33 +0000 2017,1769,USER We're happy to help. Has Home Sharing worked with these devices before?,AppleSupport
1772,"USER iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x",Tue Oct 31 22:39:21 +0000 2017,1774,"USER To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: URL",AppleSupport
1775,USER USER Battery life just got worst.,Tue Oct 31 23:04:13 +0000 2017,1777,"USER We'll make sure to get this straightened out. DM us, and we'll see you there. URL",AppleSupport
