customer_tweet_id,customer_text,brand_response,intent,expected_action,review_status,review_notes
440799,USER How do I turn off auto connect then?,"USER If you’re wanting to turn off Wi-Fi completely, you’ll want to turn it off from the Settings instead of Control Center.",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
265614,"Hey is your iPhone jailbroken? Nope, just the new Apple update 😮 USER URL","USER We can help with the unexpected display of your apps. Send a DM, and let us know if this issue is permanently showing this way. URL",device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
511174,"USER I put a 32GB SD card in the card reader on my MacBook Pro, but I don't see it in the Finder. Any ideas? Thanks.",USER Hey. We're happy to help get your Mac to recognize the card. Check out this link to learn which cards are compatible and how to insert them so you Mac can detect the SD Card: URL Let us know if that resolves the issue for you.,billing_payment,ESCALATE,needs_human_review,AI-assisted draft; human review required before submission.
39640,Truly disappointed with the USER . My Watch is peeling the paint off and the support don't help me.,USER We'd be happy to look into this with you. Let us know the details in DM and we'll continue from there. URL,complaint,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
249221,. USER USER thanks for your update that slowed down my iPhone enough to ruin a selfie with a boyhood hero URL,USER We'd like to prevent this from happening again. Let’s team up in DM and we’ll do our best to assist you. URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
274974,my phones literally been turning on for 14 hours fix this USER,USER We are here for you. Let's take a look at this further for you. Reach out to us in DM. URL,other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
143561,"USER Nope, definitely not my microphone.","USER Thanks for trying. Just to verify, what's the exact iOS version listed in your settings? You can check by navigating to Settings &gt; General &gt; About: URL",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
165768,"USER ahhhhh thrown off because i was trying to watch a downloaded movie, not show. thanks for the clarification!","USER No worries! We're glad it's all taken care of. If any questions come up, feel free to reach out.",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
172944,"USER iPhone 8 Plus, iOS 11.1.2, and has been going on for as long as I can remember.","USER Let's check relevant settings on your iPhone, so that the most up-to-date info is available to the Weather app. First, tap Settings &gt; General &gt; Date &amp; Time, and make sure 'Set Automatically' is enabled, and that your Time Zone is correct.",device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
97092,"USER Yes, That started this morning!, Tried Logging in and out No luck..it gets worse(as below)..Resolved after the restart though! URL","USER We appreciate the clarification. Restarting your Mac was a good step to take, and it sounds like that fixed the issue for you. Let us know if you have any other questions we can help with. We're here for you.",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
32376,"Oye USER , muy bonitos tus nuevos emojis pero, ¿para cuando el poder desactivar (REAL) el Wifi y el Bluetooth desde el CC?",USER We offer support via Twitter in English. Get help in Spanish here: URL or join URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
188497,USER my i5s not starting after getting off during updation of OS. Charge was &gt;80% . Help. Urgent. USER,USER Let's see if this article helps: URL Send us a DM and let us know. URL,billing_payment,ESCALATE,needs_human_review,AI-assisted draft; human review required before submission.
496853,USER IPhone usability sucks.,USER That’s not what we’d like to hear. Can you confirm in DM more about the issues you’ve noticed and we’ll get started from there. URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
270342,45.86GB of memory!!! USER WHAT IS HAPPENING??? URL,USER We're happy to help. Send us a DM to get started. URL,other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
274972,"Glad my iCloud is full when there’s really nothing in it, and all my notes got deleted so now I have nothing... USER","USER If you're having problems with an Apple service, you've come to the right place. Let's meet up in DM to gather additional details so we can help. URL",icloud,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
286909,USER Is there a list of all apps that are allowed to record my screen like Uber? I want to delete all of them. USER,USER Thanks for reaching out. While we don't have a list of apps is there something we can help with?,other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
300620,USER iPhone 6 with iOS11 really doesn’t work. Poorest performance ever and shortest battery life in years. Any fix on sight?,USER We understand that reliability is essential. Learn to maximize your battery life here. URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
428745,Dear USER USER why don’t my updates update since the iOS update? It’s so annoying.,USER Let's take a look together. Do you have Automatic Downloads enabled for Apps? This may help: URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
489724,"USER Yes, those EarPods and latest iOS.","USER Does this happen if you use a different set of headphones? Also, can you tell us the exact iOS version you're using? Here's how to find it: URL",device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
235279,ios11 USER USER USER USER nos estáis destrozando la batería con esta nueva actualización ¿soluciones?,USER We offer support via Twitter in English. Get help in Spanish here: URL or join URL,device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
101269,"USER I’m currently staying with family and don’t have access to other Bluetooth devices to connect to, unfortunately.","USER Understood, thanks. Are you showing any updates available for the firmware in your car? Also, are you showing any connection errors on your iPhone or in the car?",device_technical,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
288462,anyone else’s Apple Music just repeating one song instead of playing or shuffling the playlist?? USER,"USER If you're having issues with playback on Apple Music, we can help out. Which device do you have and what is the iOS version?",subscription,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
90535,"USER please stop using USER for delivery, new phone held up in depo for 2 days, no updates, no response on phone, email, twitter","USER That's never what we like to hear. Our Online Sales Support would be best suited to assist you, you can reach them here: URL",purchase_order,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
356122,"Technology uh? It knows where you are, where you want to be. Sends you to random place. USER hey kids, never trust the satnav. URL","USER Thanks for reaching out! To report a problem with Maps, follow the steps near the bottom of this link: URL",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
9178,USER what’s up with typing the letter I️ ... it wants to be an A and a box with a question mark,USER We'd like to help. We received your DM and will continue there. URL,other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
87001,tell me when will you send your god damn confirmation message. ı cant use my blasted phone. would you like help me ? USER,"USER Hey, can you tell us some more details on what's going on? Which confirmation message you are referring to? Let us know in DM and we'll do our best to help you. URL",other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
176013,hey USER i have an important question,USER We'll be glad to help. Please let us know what your questions are.,other,AUTO-HANDLE,needs_human_review,AI-assisted draft; human review required before submission.
284461,I just charged my phone and its now at 61% what the fuck USER,USER We know how important it is to have a reliable battery. Are you using the charger that came with the device?,billing_payment,ESCALATE,needs_human_review,AI-assisted draft; human review required before submission.
